 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
77 8.232e+33 1.688e+14 -8.35e+05 2.847e-13 0.5933 0.3866
78 8.232e+33 1.695e+14 -8.18e+05 2.821e-13 0.5933 0.3866
79 8.232e+33 1.703e+14 -8.01e+05 2.794e-13 0.5933 0.3866
80 8.232e+33 1.71e+14 -7.834e+05 2.769e-13 0.5933 0.3866
81 8.232e+33 1.718e+14 -7.656e+05 2.743e-13 0.5933 0.3866
82 8.232e+33 1.726e+14 -7.476e+05 2.718e-13 0.5933 0.3866
83 8.232e+33 1.733e+14 -7.296e+05 2.692e-13 0.5933 0.3866
84 8.232e+33 1.741e+14 -7.126e+05 2.683e-13 0.5933 0.3866
85 8.232e+33 1.749e+14 -6.955e+05 2.674e-13 0.5933 0.3866
86 8.233e+33 1.756e+14 -6.784e+05 2.665e-13 0.5933 0.3866
87 8.233e+33 1.764e+14 -6.607e+05 2.646e-13 0.5933 0.3866
88 8.233e+33 1.772e+14 -6.426e+05 2.619e-13 0.5933 0.3866
89 8.233e+33 1.78e+14 -6.244e+05 2.593e-13 0.5933 0.3866
90 8.233e+33 1.788e+14 -6.064e+05 2.569e-13 0.5933 0.3866
91 8.233e+33 1.796e+14 -5.894e+05 2.565e-13 0.5933 0.3866
92 8.233e+33 1.803e+14 -5.723e+05 2.561e-13 0.5933 0.3866
93 8.233e+33 1.811e+14 -5.552e+05 2.557e-13 0.5933 0.3866
94 8.233e+33 1.819e+14 -5.374e+05 2.54e-13 0.5933 0.3866
95 8.233e+33 1.828e+14 -5.194e+05 2.521e-13 0.5933 0.3866
96 8.233e+33 1.836e+14 -5.013e+05 2.501e-13 0.5933 0.3866
97 8.233e+33 1.844e+14 -4.854e+05 2.487e-13 0.5933 0.3866
98 8.234e+33 1.852e+14 -4.711e+05 2.475e-13 0.5933 0.3866
99 8.234e+33 1.86e+14 -4.567e+05 2.463e-13 0.5933 0.3866
100 8.234e+33 1.868e+14 -4.404e+05 2.444e-13 0.5933 0.3866
101 8.234e+33 1.877e+14 -4.218e+05 2.416e-13 0.5933 0.3866
102 8.234e+33 1.885e+14 -4.031e+05 2.388e-13 0.5933 0.3866
103 8.234e+33 1.893e+14 -3.841e+05 2.363e-13 0.5933 0.3866
104 8.234e+33 1.902e+14 -3.645e+05 2.342e-13 0.5933 0.3866
105 8.234e+33 1.91e+14 -3.447e+05 2.322e-13 0.5933 0.3866
106 8.234e+33 1.919e+14 -3.255e+05 2.307e-13 0.5933 0.3866
