j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
70 -1.952e+40 1.908e+14 1.000e+07 4.350e-06 7.000e-01 2.800e-01
71 -1.952e+40 1.926e+14 1.000e+07 4.271e-06 7.000e-01 2.800e-01
72 -1.951e+40 1.943e+14 1.000e+07 4.193e-06 7.000e-01 2.800e-01
73 -1.951e+40 1.961e+14 1.000e+07 4.116e-06 7.000e-01 2.800e-01
74 -1.951e+40 1.980e+14 1.000e+07 4.041e-06 7.000e-01 2.800e-01
75 -1.950e+40 1.998e+14 1.000e+07 3.967e-06 7.000e-01 2.800e-01
76 -1.950e+40 2.017e+14 1.000e+07 3.894e-06 7.000e-01 2.800e-01
77 -1.949e+40 2.035e+14 1.000e+07 3.823e-06 7.000e-01 2.800e-01
78 -1.949e+40 2.054e+14 1.000e+07 3.753e-06 7.000e-01 2.800e-01
79 -1.949e+40 2.073e+14 1.000e+07 3.684e-06 7.000e-01 2.800e-01
80 -1.948e+40 2.092e+14 1.000e+07 3.617e-06 7.000e-01 2.800e-01
81 -1.948e+40 2.112e+14 1.000e+07 3.551e-06 7.000e-01 2.800e-01
82 -1.948e+40 2.131e+14 1.000e+07 3.486e-06 7.000e-01 2.800e-01
83 -1.947e+40 2.151e+14 1.000e+07 3.422e-06 7.000e-01 2.800e-01
84 -1.947e+40 2.171e+14 1.000e+07 3.360e-06 7.000e-01 2.800e-01
85 -1.946e+40 2.191e+14 1.000e+07 3.298e-06 7.000e-01 2.800e-01
86 -1.946e+40 2.212e+14 1.000e+07 3.238e-06 7.000e-01 2.800e-01
87 -1.946e+40 2.232e+14 1.000e+07 3.179e-06 7.000e-01 2.800e-01
88 -1.945e+40 2.253e+14 1.000e+07 3.121e-06 7.000e-01 2.800e-01
89 -1.945e+40 2.274e+14 1.000e+07 3.063e-06 7.000e-01 2.800e-01
90 -1.944e+40 2.295e+14 1.000e+07 3.007e-06 7.000e-01 2.800e-01
91 -1.944e+40 2.316e+14 1.000e+07 2.952e-06 7.000e-01 2.800e-01
92 -1.943e+40 2.337e+14 1.000e+07 2.898e-06 7.000e-01 2.800e-01
93 -1.943e+40 2.359e+14 1.000e+07 2.845e-06 7.000e-01 2.800e-01
94 -1.943e+40 2.381e+14 1.000e+07 2.793e-06 7.000e-01 2.800e-01
95 -1.942e+40 2.403e+14 1.000e+07 2.742e-06 7.000e-01 2.800e-01
96 -1.942e+40 2.425e+14 1.000e+07 2.692e-06 7.000e-01 2.800e-01
97 -1.941e+40 2.448e+14 1.000e+07 2.643e-06 7.000e-01 2.800e-01
98 -1.941e+40 2.471e+14 1.000e+07 2.595e-06 7.000e-01 2.800e-01
99 -1.940e+40 2.493e+14 1.000e+07 2.547e-06 7.000e-01 2.800e-01
100 -1.940e+40 2.517e+14 1.000e+07 2.501e-06 7.000e-01 2.800e-01
101 -1.939e+40 2.540e+14 1.000e+07 2.455e-06 7.000e-01 2.800e-01
102 -1.939e+40 2.563e+14 1.000e+07 2.410e-06 7.000e-01 2.800e-01
