j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
72 1.636e+31 1.943e+14 1.000e+07 4.025e-13 7.000e-01 2.800e-01
73 1.671e+31 1.961e+14 1.000e+07 3.963e-13 7.000e-01 2.800e-01
74 1.706e+31 1.980e+14 1.000e+07 3.901e-13 7.000e-01 2.800e-01
75 1.741e+31 1.998e+14 1.000e+07 3.840e-13 7.000e-01 2.800e-01
76 1.777e+31 2.017e+14 1.000e+07 3.781e-13 7.000e-01 2.800e-01
77 1.813e+31 2.035e+14 1.000e+07 3.722e-13 7.000e-01 2.800e-01
78 1.850e+31 2.054e+14 1.000e+07 3.664e-13 7.000e-01 2.800e-01
79 1.887e+31 2.073e+14 1.000e+07 3.606e-13 7.000e-01 2.800e-01
80 1.924e+31 2.092e+14 1.000e+07 3.550e-13 7.000e-01 2.800e-01
81 1.962e+31 2.112e+14 1.000e+07 3.494e-13 7.000e-01 2.800e-01
82 2.001e+31 2.131e+14 1.000e+07 3.440e-13 7.000e-01 2.800e-01
83 2.040e+31 2.151e+14 1.000e+07 3.386e-13 7.000e-01 2.800e-01
84 2.079e+31 2.171e+14 1.000e+07 3.332e-13 7.000e-01 2.800e-01
85 2.119e+31 2.191e+14 1.000e+07 3.280e-13 7.000e-01 2.800e-01
86 2.159e+31 2.212e+14 1.000e+07 3.228e-13 7.000e-01 2.800e-01
87 2.200e+31 2.232e+14 1.000e+07 3.177e-13 7.000e-01 2.800e-01
88 2.241e+31 2.253e+14 1.000e+07 3.127e-13 7.000e-01 2.800e-01
89 2.283e+31 2.274e+14 1.000e+07 3.078e-13 7.000e-01 2.800e-01
90 2.325e+31 2.295e+14 1.000e+07 3.029e-13 7.000e-01 2.800e-01
91 2.368e+31 2.316e+14 1.000e+07 2.981e-13 7.000e-01 2.800e-01
92 2.411e+31 2.337e+14 1.000e+07 2.934e-13 7.000e-01 2.800e-01
93 2.455e+31 2.359e+14 1.000e+07 2.887e-13 7.000e-01 2.800e-01
94 2.499e+31 2.381e+14 1.000e+07 2.841e-13 7.000e-01 2.800e-01
95 2.544e+31 2.403e+14 1.000e+07 2.796e-13 7.000e-01 2.800e-01
96 2.589e+31 2.425e+14 1.000e+07 2.751e-13 7.000e-01 2.800e-01
97 2.635e+31 2.448e+14 1.000e+07 2.708e-13 7.000e-01 2.800e-01
98 2.682e+31 2.471e+14 1.000e+07 2.664e-13 7.000e-01 2.800e-01
99 2.729e+31 2.493e+14 1.000e+07 2.622e-13 7.000e-01 2.800e-01
100 2.776e+31 2.517e+14 1.000e+07 2.580e-13 7.000e-01 2.800e-01
101 2.824e+31 2.540e+14 1.000e+07 2.538e-13 7.000e-01 2.800e-01
102 2.873e+31 2.563e+14 1.000e+07 2.497e-13 7.000e-01 2.800e-01
103 2.922e+31 2.587e+14 1.000e+07 2.457e-13 7.000e-01 2.800e-01
104 2.971e+31 2.611e+14 1.000e+07 2.418e-13 7.000e-01 2.800e-01
105 3.022e+31 2.635e+14 1.000e+07 2.379e-13 7.000e-01 2.800e-01
106 3.072e+31 2.660e+14 1.000e+07 2.340e-13 7.000e-01 2.800e-01
107 3.124e+31 2.684e+14 1.000e+07 2.302e-13 7.000e-01 2.800e-01
108 3.176e+31 2.709e+14 1.000e+07 2.265e-13 7.000e-01 2.800e-01
109 3.228e+31 2.734e+14 1.000e+07 2.228e-13 7.000e-01 2.800e-01
110 3.282e+31 2.760e+14 1.000e+07 2.192e-13 7.000e-01 2.800e-01
111 3.335e+31 2.785e+14 1.000e+07 2.156e-13 7.000e-01 2.800e-01
112 3.390e+31 2.811e+14 1.000e+07 2.121e-13 7.000e-01 2.800e-01
113 3.445e+31 2.837e+14 1.000e+07 2.087e-13 7.000e-01 2.800e-01
114 3.501e+31 2.864e+14 1.000e+07 2.053e-13 7.000e-01 2.800e-01
115 3.557e+31 2.890e+14 1.000e+07 2.019e-13 7.000e-01 2.800e-01
