1.0000E-01 1.2655E-12
1.0000E-03 3.5594E-01 3.0203E-04
1.0100E-03 3.5594E-01 2.9560E-04
1.0200E-03 3.5593E-01 2.8937E-04
1.0301E-03 3.5593E-01 2.8332E-04
1.0401E-03 3.5592E-01 2.7745E-04
1.0501E-03 3.5592E-01 2.7175E-04
1.0601E-03 3.5591E-01 2.6621E-04
1.0701E-03 3.5591E-01 2.6084E-04
1.0802E-03 3.5590E-01 2.5561E-04
1.0902E-03 3.5589E-01 2.5053E-04
1.1002E-03 3.5589E-01 2.4560E-04
1.1102E-03 3.5588E-01 2.4080E-04
1.1202E-03 3.5587E-01 2.3614E-04
1.1303E-03 3.5587E-01 2.3163E-04
1.1403E-03 3.5587E-01 2.2726E-04
1.1503E-03 3.5587E-01 2.2300E-04
1.1603E-03 3.5586E-01 2.1885E-04
1.1703E-03 3.5586E-01 2.1481E-04
1.1804E-03 3.5586E-01 2.1088E-04
1.1904E-03 3.5585E-01 2.0705E-04
1.2004E-03 3.5585E-01 2.0331E-04
1.2104E-03 3.5584E-01 1.9967E-04
1.2204E-03 3.5584E-01 1.9612E-04
1.2305E-03 3.5583E-01 1.9266E-04
1.2405E-03 3.5583E-01 1.8929E-04
1.2505E-03 3.5582E-01 1.8601E-04
1.2605E-03 3.5582E-01 1.8283E-04
1.2705E-03 3.5582E-01 1.7973E-04
1.2806E-03 3.5582E-01 1.7669E-04
1.2906E-03 3.5582E-01 1.7374E-04
1.3006E-03 3.5582E-01 1.7085E-04
1.3106E-03 3.5581E-01 1.6802E-04
1.3206E-03 3.5581E-01 1.6527E-04
1.3307E-03 3.5581E-01 1.6257E-04
1.3407E-03 3.5580E-01 1.5994E-04
1.3507E-03 3.5580E-01 1.5737E-04
1.3607E-03 3.5579E-01 1.5486E-04
1.3707E-03 3.5579E-01 1.5240E-04
1.3808E-03 3.5579E-01 1.5002E-04
1.3908E-03 3.5579E-01 1.4769E-04
1.4008E-03 3.5579E-01 1.4541E-04
1.4108E-03 3.5579E-01 1.4318E-04
1.4208E-03 3.5579E-01 1.4100E-04
1.4309E-03 3.5578E-01 1.3886E-04
