3.0000E-03 6.5760E-15
2.3226E-03 3.5409E-01 1.7276E-05
2.3327E-03 3.5409E-01 1.7205E-05
2.3427E-03 3.5409E-01 1.6892E-05
2.3527E-03 3.5409E-01 1.6711E-05
2.3627E-03 3.5409E-01 1.6530E-05
2.3727E-03 3.5409E-01 1.6654E-05
2.3828E-03 3.5412E-01 4.8735E-05
2.3928E-03 3.5411E-01 4.0119E-05
2.4028E-03 3.5409E-01 1.5868E-05
2.4128E-03 3.5409E-01 1.5756E-05
2.4228E-03 3.5409E-01 1.5527E-05
2.4329E-03 3.5409E-01 2.1936E-05
2.4429E-03 3.5409E-01 1.6498E-05
2.4529E-03 3.5409E-01 1.5154E-05
2.4629E-03 3.5411E-01 4.3691E-05
2.4729E-03 3.5408E-01 1.4783E-05
2.4830E-03 3.5408E-01 1.4666E-05
2.4930E-03 3.5408E-01 1.4480E-05
2.5030E-03 3.5409E-01 1.6728E-05
2.5130E-03 3.5408E-01 1.4551E-05
2.5230E-03 3.5408E-01 1.4066E-05
2.5331E-03 3.5408E-01 1.4689E-05
2.5431E-03 3.5409E-01 1.5168E-05
2.5531E-03 3.5408E-01 1.4023E-05
2.5631E-03 3.5408E-01 1.4298E-05
2.5731E-03 3.5408E-01 1.3436E-05
2.5832E-03 3.5408E-01 1.3370E-05
2.5932E-03 3.5408E-01 1.3963E-05
2.6032E-03 3.5408E-01 1.3429E-05
2.6132E-03 3.5408E-01 1.3044E-05
2.6232E-03 3.5414E-01 6.8478E-05
2.6333E-03 3.5408E-01 1.3107E-05
2.6433E-03 3.5408E-01 1.2558E-05
2.6533E-03 3.5408E-01 1.2445E-05
2.6633E-03 3.5408E-01 1.2272E-05
2.6733E-03 3.5408E-01 1.2175E-05
2.6834E-03 3.5408E-01 1.2113E-05
2.6934E-03 3.5408E-01 1.1977E-05
2.7034E-03 3.5408E-01 1.1958E-05
2.7134E-03 3.5409E-01 1.9917E-05
2.7234E-03 3.5408E-01 1.4719E-05
2.7335E-03 3.5408E-01 1.1492E-05
2.7435E-03 3.5408E-01 1.1495E-05
2.7535E-03 3.5408E-01 1.1296E-05
2.7635E-03 3.5408E-01 1.1184E-05
2.7735E-03 3.5408E-01 1.1113E-05
2.7836E-03 3.5408E-01 1.0986E-05
2.7936E-03 3.5408E-01 1.0883E-05
2.8036E-03 3.5408E-01 1.0789E-05
2.8136E-03 3.5408E-01 1.0715E-05
2.8236E-03 3.5408E-01 1.0617E-05
2.8337E-03 3.5408E-01 1.0619E-05
2.8437E-03 3.5408E-01 1.0694E-05
2.8537E-03 3.5408E-01 1.0425E-05
2.8637E-03 3.5408E-01 1.0854E-05
2.8737E-03 3.5408E-01 1.0247E-05
2.8838E-03 3.5408E-01 1.0074E-05
2.8938E-03 3.5408E-01 1.0397E-05
2.9038E-03 3.5408E-01 1.6332E-05
2.9138E-03 3.5408E-01 9.7816E-06
2.9238E-03 3.5408E-01 9.7014E-06
2.9339E-03 3.5408E-01 9.6145E-06
2.9439E-03 3.5408E-01 9.5435E-06
2.9539E-03 3.5409E-01 2.0967E-05
2.9639E-03 3.5408E-01 1.4526E-05
2.9739E-03 3.5408E-01 1.1734E-05
2.9840E-03 3.5408E-01 9.2419E-06
2.9940E-03 3.5408E-01 9.2231E-06
3.0040E-03 3.5408E-01 9.2506E-06
3.0140E-03 3.5408E-01 8.9985E-06
3.0240E-03 3.5408E-01 8.9140E-06
3.0341E-03 3.5408E-01 9.8823E-06
3.0441E-03 3.5408E-01 1.1308E-05
3.0541E-03 3.5408E-01 1.4406E-05
3.0641E-03 3.5408E-01 1.2685E-05
3.0741E-03 3.5408E-01 8.9112E-06
3.0842E-03 3.5408E-01 1.0648E-05
3.0942E-03 3.5408E-01 8.7421E-06
3.1042E-03 3.5408E-01 8.3509E-06
3.1142E-03 3.5408E-01 8.2832E-06
3.1242E-03 3.5408E-01 8.3238E-06
3.1343E-03 3.5408E-01 9.2963E-06
3.1443E-03 3.5407E-01 8.4406E-06
3.1543E-03 3.5408E-01 1.3904E-05
3.1643E-03 3.5408E-01 9.8790E-06
3.1743E-03 3.5407E-01 8.1516E-06
3.1844E-03 3.5407E-01 8.0425E-06
3.1944E-03 3.5407E-01 7.7801E-06
3.2044E-03 3.5407E-01 7.8084E-06
3.2144E-03 3.5407E-01 8.0210E-06
3.2244E-03 3.5407E-01 8.7986E-06
3.2345E-03 3.5408E-01 1.3197E-05
3.2445E-03 3.5407E-01 8.4387E-06
3.2545E-03 3.5411E-01 4.1524E-05
3.2645E-03 3.5407E-01 8.8031E-06
3.2745E-03 3.5407E-01 8.3150E-06
3.2846E-03 3.5408E-01 1.0520E-05
3.2946E-03 3.5407E-01 7.6296E-06
3.3046E-03 3.5407E-01 7.4395E-06
3.3146E-03 3.5407E-01 7.1042E-06
3.3246E-03 3.5412E-01 5.2272E-05
3.3347E-03 3.5409E-01 2.5241E-05
3.3447E-03 3.5415E-01 8.3482E-05
3.3547E-03 3.5408E-01 1.8717E-05
3.3647E-03 3.5408E-01 1.4174E-05
3.3747E-03 3.5410E-01 4.0473E-05
3.3848E-03 3.5407E-01 9.5773E-06
3.3948E-03 3.5407E-01 6.8843E-06
3.4048E-03 3.5407E-01 6.8793E-06
3.4148E-03 3.5407E-01 7.0465E-06
3.4248E-03 3.5409E-01 2.5633E-05
3.4349E-03 3.5407E-01 7.1579E-06
3.4449E-03 3.5407E-01 6.6221E-06
3.4549E-03 3.5407E-01 7.0879E-06
3.4649E-03 3.5407E-01 7.9223E-06
3.4749E-03 3.5407E-01 6.6955E-06
3.4850E-03 3.5407E-01 7.9326E-06
3.4950E-03 3.5407E-01 7.0791E-06
3.5050E-03 3.5407E-01 1.1072E-05
3.5150E-03 3.5409E-01 2.6794E-05
3.5250E-03 3.5407E-01 7.4553E-06
3.5351E-03 3.5407E-01 8.2737E-06
3.5451E-03 3.5439E-01 3.2749E-04
3.5551E-03 3.5407E-01 7.3694E-06
3.5651E-03 3.5407E-01 6.3899E-06
3.5751E-03 3.5410E-01 3.3274E-05
3.5852E-03 3.5407E-01 6.0095E-06
3.5952E-03 3.5407E-01 6.7717E-06
3.6052E-03 3.5407E-01 7.3604E-06
3.6152E-03 3.5407E-01 6.9244E-06
3.6252E-03 3.5407E-01 5.9332E-06
3.6353E-03 3.5428E-01 2.1941E-04
3.6453E-03 3.5522E-01 1.1851E-03
3.6553E-03 3.5704E-01 3.0410E-03
3.6653E-03 3.5408E-01 1.8549E-05
3.6753E-03 3.5407E-01 5.9217E-06
3.6854E-03 3.5407E-01 9.0807E-06
3.6954E-03 3.5407E-01 5.4963E-06
3.7054E-03 3.5407E-01 5.5432E-06
3.7154E-03 3.5407E-01 6.7684E-06
3.7254E-03 3.5408E-01 2.1465E-05
3.7355E-03 3.5407E-01 5.7788E-06
3.7455E-03 3.5407E-01 5.8928E-06
3.7555E-03 3.5407E-01 5.1657E-06
3.7655E-03 3.5407E-01 5.4398E-06
3.7755E-03 3.5407E-01 5.3391E-06
3.7856E-03 3.5407E-01 5.7181E-06
3.7956E-03 3.5407E-01 5.3078E-06
3.8056E-03 3.5407E-01 6.8264E-06
3.8156E-03 3.5407E-01 7.2759E-06
3.8256E-03 3.5407E-01 6.4124E-06
3.8357E-03 3.5407E-01 5.8364E-06
3.8457E-03 3.5406E-01 4.8973E-06
3.8557E-03 3.5406E-01 5.1920E-06
3.8657E-03 3.5407E-01 6.0669E-06
3.8757E-03 3.5407E-01 9.2808E-06
3.8858E-03 3.5407E-01 1.2210E-05
3.8958E-03 3.5417E-01 1.0943E-04
3.9058E-03 3.5406E-01 5.6095E-06
3.9158E-03 3.5406E-01 5.7646E-06
3.9258E-03 3.5407E-01 1.2698E-05
3.9359E-03 3.5407E-01 1.4092E-05
3.9459E-03 3.5407E-01 1.4919E-05
3.9559E-03 3.5406E-01 4.6334E-06
3.9659E-03 3.5406E-01 4.8956E-06
3.9759E-03 3.5406E-01 6.0504E-06
3.9860E-03 3.5407E-01 9.7221E-06
3.9960E-03 3.5406E-01 5.7059E-06
4.0060E-03 3.5406E-01 5.9353E-06
4.0160E-03 3.5406E-01 6.9692E-06
4.0260E-03 3.5407E-01 8.2158E-06
4.0361E-03 3.5406E-01 5.5411E-06
4.0461E-03 3.5406E-01 5.4499E-06
4.0561E-03 3.5407E-01 8.1972E-06
4.0661E-03 3.5406E-01 6.6633E-06
4.0761E-03 3.5406E-01 5.7954E-06
4.0862E-03 3.5406E-01 5.0822E-06
4.0962E-03 3.5406E-01 5.7010E-06
4.1062E-03 3.5406E-01 5.3055E-06
4.1162E-03 3.5406E-01 5.2953E-06
4.1262E-03 3.5406E-01 6.1802E-06
4.1363E-03 3.5406E-01 4.7512E-06
4.1463E-03 3.5406E-01 4.9781E-06
4.1563E-03 3.5406E-01 5.2956E-06
4.1663E-03 3.5406E-01 4.6453E-06
4.1763E-03 3.5406E-01 5.4717E-06
4.1864E-03 3.5406E-01 6.7148E-06
4.1964E-03 3.5406E-01 5.5927E-06
4.2064E-03 3.5407E-01 8.9539E-06
4.2164E-03 3.5407E-01 1.6387E-05
4.2264E-03 3.5407E-01 1.0700E-05
4.2365E-03 3.5407E-01 9.3291E-06
4.2465E-03 3.5406E-01 7.8112E-06
4.2565E-03 3.5406E-01 3.9802E-06
4.2665E-03 3.5406E-01 4.2587E-06
4.2765E-03 3.5406E-01 4.9875E-06
4.2866E-03 3.5406E-01 3.7658E-06
4.2966E-03 3.5406E-01 3.8586E-06
4.3066E-03 3.5406E-01 4.8307E-06
4.3166E-03 3.5565E-01 1.6056E-03
4.3266E-03 3.5410E-01 4.6402E-05
4.3367E-03 3.5406E-01 5.6640E-06
4.3467E-03 3.5406E-01 4.1086E-06
4.3567E-03 3.5406E-01 4.6611E-06
4.3667E-03 3.5406E-01 5.3354E-06
4.3767E-03 3.5406E-01 4.3864E-06
4.3868E-03 3.5406E-01 4.3454E-06
4.3968E-03 3.5406E-01 3.6219E-06
4.4068E-03 3.5406E-01 6.2907E-06
4.4168E-03 3.5406E-01 5.6546E-06
4.4268E-03 3.5406E-01 6.7747E-06
4.4369E-03 3.5406E-01 6.6177E-06
4.4469E-03 3.5406E-01 5.3443E-06
4.4569E-03 3.5406E-01 3.7234E-06
4.4669E-03 3.5406E-01 3.9423E-06
4.4769E-03 3.5406E-01 6.5153E-06
4.4870E-03 3.5406E-01 3.6926E-06
4.4970E-03 3.5406E-01 7.0602E-06
4.5070E-03 3.5406E-01 7.1562E-06
4.5170E-03 3.5406E-01 6.4900E-06
4.5270E-03 3.5406E-01 5.4963E-06
4.5371E-03 3.5406E-01 4.4936E-06
4.5471E-03 3.5406E-01 4.1204E-06
4.5571E-03 3.5406E-01 4.2545E-06
4.5671E-03 3.5406E-01 5.1938E-06
4.5771E-03 3.5406E-01 4.1515E-06
4.5872E-03 3.5406E-01 3.6291E-06
4.5972E-03 3.5406E-01 3.4886E-06
4.6072E-03 3.5406E-01 3.6925E-06
4.6172E-03 3.5406E-01 3.3690E-06
4.6272E-03 3.5406E-01 3.4242E-06
4.6373E-03 3.5406E-01 7.9881E-06
4.6473E-03 3.5406E-01 3.0300E-06
4.6573E-03 3.5406E-01 5.7058E-06
4.6673E-03 3.5407E-01 1.9565E-05
4.6773E-03 3.5406E-01 3.4493E-06
4.6874E-03 3.5406E-01 3.5590E-06
4.6974E-03 3.5406E-01 3.9386E-06
4.7074E-03 3.5406E-01 3.6672E-06
4.7174E-03 3.5406E-01 3.1539E-06
4.7274E-03 3.5406E-01 3.9631E-06
4.7375E-03 3.5410E-01 5.2879E-05
4.7475E-03 3.5411E-01 5.3452E-05
4.7575E-03 3.5406E-01 4.1458E-06
4.7675E-03 3.5405E-01 2.9163E-06
4.7775E-03 3.5405E-01 3.1940E-06
4.7876E-03 3.5405E-01 2.9366E-06
4.7976E-03 3.5406E-01 3.7638E-06
4.8076E-03 3.5405E-01 3.0035E-06
4.8176E-03 3.5405E-01 3.3931E-06
4.8276E-03 3.5405E-01 3.1474E-06
