3.0000E-02 2.0844E-13
1.0000E-03 3.5554E-01 2.3832E-04
1.0100E-03 3.5554E-01 2.3317E-04
1.0200E-03 3.5553E-01 2.2818E-04
1.0301E-03 3.5553E-01 2.2334E-04
1.0401E-03 3.5552E-01 2.1864E-04
1.0501E-03 3.5552E-01 2.1409E-04
1.0601E-03 3.5551E-01 2.0968E-04
1.0701E-03 3.5551E-01 2.0540E-04
1.0802E-03 3.5550E-01 2.0124E-04
1.0902E-03 3.5550E-01 1.9721E-04
1.1002E-03 3.5550E-01 1.9329E-04
1.1102E-03 3.5549E-01 1.8948E-04
1.1202E-03 3.5549E-01 1.8578E-04
1.1303E-03 3.5549E-01 1.8218E-04
1.1403E-03 3.5548E-01 1.7869E-04
1.1503E-03 3.5548E-01 1.7529E-04
1.1603E-03 3.5548E-01 1.7198E-04
1.1703E-03 3.5547E-01 1.6876E-04
1.1804E-03 3.5547E-01 1.6563E-04
1.1904E-03 3.5547E-01 1.6258E-04
1.2004E-03 3.5546E-01 1.5961E-04
1.2104E-03 3.5546E-01 1.5672E-04
1.2204E-03 3.5546E-01 1.5390E-04
1.2305E-03 3.5545E-01 1.5115E-04
1.2405E-03 3.5545E-01 1.4848E-04
1.2505E-03 3.5545E-01 1.4587E-04
1.2605E-03 3.5545E-01 1.4333E-04
1.2705E-03 3.5544E-01 1.4085E-04
1.2806E-03 3.5544E-01 1.3843E-04
1.2906E-03 3.5544E-01 1.3608E-04
1.3006E-03 3.5544E-01 1.3378E-04
1.3106E-03 3.5543E-01 1.3153E-04
1.3206E-03 3.5543E-01 1.2934E-04
1.3307E-03 3.5543E-01 1.2721E-04
1.3407E-03 3.5543E-01 1.2512E-04
1.3507E-03 3.5543E-01 1.2308E-04
1.3607E-03 3.5543E-01 1.2109E-04
1.3707E-03 3.5542E-01 1.1915E-04
1.3808E-03 3.5542E-01 1.1725E-04
1.3908E-03 3.5542E-01 1.1540E-04
1.4008E-03 3.5542E-01 1.1358E-04
1.4108E-03 3.5542E-01 1.1181E-04
1.4208E-03 3.5541E-01 1.1008E-04
1.4309E-03 3.5541E-01 1.0839E-04
1.4409E-03 3.5541E-01 1.0673E-04
1.4509E-03 3.5541E-01 1.0511E-04
1.4609E-03 3.5541E-01 1.0352E-04
1.4709E-03 3.5541E-01 1.0197E-04
1.4810E-03 3.5541E-01 1.0046E-04
1.4910E-03 3.5540E-01 9.8972E-05
1.5010E-03 3.5540E-01 9.7518E-05
1.5110E-03 3.5540E-01 9.6095E-05
1.5210E-03 3.5540E-01 9.4701E-05
1.5311E-03 3.5540E-01 9.3335E-05
1.5411E-03 3.5540E-01 9.1998E-05
1.5511E-03 3.5540E-01 9.0689E-05
1.5611E-03 3.5539E-01 8.9406E-05
1.5711E-03 3.5539E-01 8.8149E-05
1.5812E-03 3.5539E-01 8.6918E-05
1.5912E-03 3.5539E-01 8.5711E-05
1.6012E-03 3.5539E-01 8.4528E-05
1.6112E-03 3.5539E-01 8.3369E-05
1.6212E-03 3.5539E-01 8.2233E-05
1.6313E-03 3.5539E-01 8.1119E-05
1.6413E-03 3.5538E-01 8.0026E-05
1.6513E-03 3.5538E-01 7.8954E-05
1.6613E-03 3.5538E-01 7.7904E-05
1.6713E-03 3.5538E-01 7.6873E-05
1.6814E-03 3.5538E-01 7.5862E-05
1.6914E-03 3.5538E-01 7.4870E-05
1.7014E-03 3.5538E-01 7.3897E-05
1.7114E-03 3.5538E-01 7.2942E-05
1.7214E-03 3.5538E-01 7.2004E-05
1.7315E-03 3.5538E-01 7.1084E-05
1.7415E-03 3.5537E-01 7.0181E-05
1.7515E-03 3.5537E-01 6.9294E-05
1.7615E-03 3.5537E-01 6.8423E-05
1.7715E-03 3.5537E-01 6.7569E-05
1.7816E-03 3.5537E-01 6.6729E-05
1.7916E-03 3.5537E-01 6.5905E-05
1.8016E-03 3.5537E-01 6.5095E-05
1.8116E-03 3.5537E-01 6.4299E-05
1.8216E-03 3.5537E-01 6.3517E-05
1.8317E-03 3.5537E-01 6.2749E-05
1.8417E-03 3.5537E-01 6.1994E-05
1.8517E-03 3.5537E-01 6.1252E-05
1.8617E-03 3.5536E-01 6.0523E-05
1.8717E-03 3.5536E-01 5.9807E-05
1.8818E-03 3.5536E-01 5.9102E-05
1.8918E-03 3.5536E-01 5.8410E-05
1.9018E-03 3.5536E-01 5.7729E-05
1.9118E-03 3.5536E-01 5.7060E-05
1.9218E-03 3.5536E-01 5.6402E-05
1.9319E-03 3.5536E-01 5.5755E-05
1.9419E-03 3.5536E-01 5.5118E-05
1.9519E-03 3.5536E-01 5.4492E-05
1.9619E-03 3.5536E-01 5.3876E-05
1.9719E-03 3.5536E-01 5.3270E-05
1.9820E-03 3.5536E-01 5.2674E-05
1.9920E-03 3.5536E-01 5.2087E-05
2.0020E-03 3.5536E-01 5.1510E-05
2.0120E-03 3.5535E-01 5.0942E-05
2.0220E-03 3.5535E-01 5.0383E-05
2.0321E-03 3.5535E-01 4.9833E-05
2.0421E-03 3.5535E-01 4.9291E-05
2.0521E-03 3.5535E-01 4.8758E-05
2.0621E-03 3.5535E-01 4.8233E-05
2.0721E-03 3.5535E-01 4.7716E-05
2.0822E-03 3.5535E-01 4.7207E-05
2.0922E-03 3.5535E-01 4.6706E-05
2.1022E-03 3.5535E-01 4.6213E-05
2.1122E-03 3.5535E-01 4.5727E-05
2.1222E-03 3.5535E-01 4.5249E-05
2.1323E-03 3.5535E-01 4.4777E-05
2.1423E-03 3.5535E-01 4.4313E-05
2.1523E-03 3.5535E-01 4.3855E-05
2.1623E-03 3.5535E-01 4.3405E-05
2.1723E-03 3.5535E-01 4.2961E-05
2.1824E-03 3.5535E-01 4.2523E-05
2.1924E-03 3.5535E-01 4.2092E-05
2.2024E-03 3.5535E-01 4.1667E-05
2.2124E-03 3.5534E-01 4.1248E-05
2.2224E-03 3.5534E-01 4.0836E-05
2.2325E-03 3.5534E-01 4.0429E-05
2.2425E-03 3.5534E-01 4.0028E-05
2.2525E-03 3.5534E-01 3.9633E-05
2.2625E-03 3.5534E-01 3.9244E-05
2.2725E-03 3.5534E-01 3.8859E-05
2.2826E-03 3.5534E-01 3.8481E-05
2.2926E-03 3.5534E-01 3.8107E-05
2.3026E-03 3.5534E-01 3.7739E-05
2.3126E-03 3.5534E-01 3.7376E-05
2.3226E-03 3.5534E-01 3.7018E-05
2.3327E-03 3.5534E-01 3.6665E-05
2.3427E-03 3.5534E-01 3.6316E-05
2.3527E-03 3.5534E-01 3.5973E-05
2.3627E-03 3.5534E-01 3.5634E-05
2.3727E-03 3.5534E-01 3.5299E-05
2.3828E-03 3.5534E-01 3.4969E-05
2.3928E-03 3.5534E-01 3.4644E-05
2.4028E-03 3.5534E-01 3.4322E-05
2.4128E-03 3.5534E-01 3.4005E-05
2.4228E-03 3.5534E-01 3.3693E-05
2.4329E-03 3.5534E-01 3.3384E-05
2.4429E-03 3.5534E-01 3.3079E-05
2.4529E-03 3.5534E-01 3.2779E-05
2.4629E-03 3.5534E-01 3.2482E-05
2.4729E-03 3.5534E-01 3.2189E-05
2.4830E-03 3.5534E-01 3.1900E-05
2.4930E-03 3.5534E-01 3.1615E-05
2.5030E-03 3.5533E-01 3.1333E-05
2.5130E-03 3.5533E-01 3.1055E-05
2.5230E-03 3.5533E-01 3.0780E-05
2.5331E-03 3.5533E-01 3.0509E-05
2.5431E-03 3.5533E-01 3.0241E-05
2.5531E-03 3.5533E-01 2.9977E-05
2.5631E-03 3.5533E-01 2.9716E-05
2.5731E-03 3.5533E-01 2.9458E-05
2.5832E-03 3.5533E-01 2.9204E-05
2.5932E-03 3.5533E-01 2.8952E-05
2.6032E-03 3.5533E-01 2.8704E-05
2.6132E-03 3.5533E-01 2.8459E-05
2.6232E-03 3.5533E-01 2.8217E-05
2.6333E-03 3.5533E-01 2.7977E-05
2.6433E-03 3.5533E-01 2.7741E-05
2.6533E-03 3.5533E-01 2.7508E-05
2.6633E-03 3.5533E-01 2.7277E-05
2.6733E-03 3.5533E-01 2.7049E-05
2.6834E-03 3.5533E-01 2.6824E-05
2.6934E-03 3.5533E-01 2.6601E-05
2.7034E-03 3.5533E-01 2.6382E-05
2.7134E-03 3.5533E-01 2.6165E-05
2.7234E-03 3.5533E-01 2.5950E-05
2.7335E-03 3.5533E-01 2.5738E-05
2.7435E-03 3.5533E-01 2.5528E-05
2.7535E-03 3.5533E-01 2.5321E-05
2.7635E-03 3.5533E-01 2.5116E-05
2.7735E-03 3.5533E-01 2.4913E-05
2.7836E-03 3.5533E-01 2.4713E-05
2.7936E-03 3.5533E-01 2.4515E-05
2.8036E-03 3.5533E-01 2.4320E-05
2.8136E-03 3.5533E-01 2.4126E-05
2.8236E-03 3.5533E-01 2.3935E-05
2.8337E-03 3.5533E-01 2.3746E-05
2.8437E-03 3.5533E-01 2.3560E-05
2.8537E-03 3.5533E-01 2.3375E-05
2.8637E-03 3.5533E-01 2.3192E-05
2.8737E-03 3.5533E-01 2.3012E-05
2.8838E-03 3.5533E-01 2.2833E-05
2.8938E-03 3.5533E-01 2.2657E-05
2.9038E-03 3.5533E-01 2.2482E-05
2.9138E-03 3.5533E-01 2.2309E-05
2.9238E-03 3.5533E-01 2.2138E-05
2.9339E-03 3.5533E-01 2.1969E-05
2.9439E-03 3.5533E-01 2.1802E-05
2.9539E-03 3.5532E-01 2.1637E-05
2.9639E-03 3.5532E-01 2.1474E-05
2.9739E-03 3.5533E-01 2.1312E-05
2.9840E-03 3.5532E-01 2.1152E-05
2.9940E-03 3.5532E-01 2.0994E-05
3.0040E-03 3.5532E-01 2.0837E-05
3.0140E-03 3.5532E-01 2.0682E-05
3.0240E-03 3.5532E-01 2.0529E-05
3.0341E-03 3.5532E-01 2.0377E-05
3.0441E-03 3.5532E-01 2.0227E-05
3.0541E-03 3.5532E-01 2.0079E-05
3.0641E-03 3.5532E-01 1.9932E-05
