 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
53  0.9662837673E+32  0.7300231668E+13 -0.2033550887E+04  0.2187536494E-05  0.5933254450E+00  0.3866232757E+00
54  0.9851866096E+32  0.7301521689E+13  0.1621978364E+04  0.2187612338E-05  0.5933254450E+00  0.3866232757E+00
55  0.1004087763E+33  0.7302810861E+13  0.6598209851E+04  0.2188084780E-05  0.5933254450E+00  0.3866232757E+00
56  0.1022987229E+33  0.7304099331E+13  0.1091779296E+05  0.2188308550E-05  0.5933254450E+00  0.3866232757E+00
57  0.1041885006E+33  0.7305387373E+13  0.1369450680E+05  0.2188069293E-05  0.5933254450E+00  0.3866232757E+00
58  0.1060781095E+33  0.7306675325E+13  0.1490334810E+05  0.2187254096E-05  0.5933254450E+00  0.3866232757E+00
59  0.1079675495E+33  0.7307963384E+13  0.1492434625E+05  0.2186105590E-05  0.5933254450E+00  0.3866232757E+00
60  0.1098568207E+33  0.7309251563E+13  0.1490002586E+05  0.2184937112E-05  0.5933254450E+00  0.3866232757E+00
61  0.1117459231E+33  0.7310539868E+13  0.1495624086E+05  0.2183758336E-05  0.5933254450E+00  0.3866232757E+00
62  0.1136348566E+33  0.7311828302E+13  0.1503322995E+05  0.2182575477E-05  0.5933254450E+00  0.3866232757E+00
63  0.1155236212E+33  0.7313116723E+13  0.1411779625E+05  0.2181633849E-05  0.5933254450E+00  0.3866232757E+00
64  0.1174122171E+33  0.7314404722E+13  0.1137233150E+05  0.2181383608E-05  0.5933254450E+00  0.3866232757E+00
65  0.1193006441E+33  0.7315691913E+13  0.6424818268E+04  0.2181788855E-05  0.5933254450E+00  0.3866232757E+00
66  0.1211889022E+33  0.7316977975E+13  0.3656855383E+02  0.2182742951E-05  0.5933254450E+00  0.3866232757E+00
67  0.1230769915E+33  0.7318263172E+13 -0.5006864874E+04  0.2183248057E-05  0.5933254450E+00  0.3866232757E+00
68  0.1249649120E+33  0.7319547940E+13 -0.7739776427E+04  0.2183015708E-05  0.5933254450E+00  0.3866232757E+00
69  0.1268526636E+33  0.7320832689E+13 -0.8470478644E+04  0.2182085990E-05  0.5933254450E+00  0.3866232757E+00
70  0.1287402464E+33  0.7322117526E+13 -0.8570041829E+04  0.2180976791E-05  0.5933254450E+00  0.3866232757E+00
71  0.1306276604E+33  0.7323402452E+13 -0.8696757554E+04  0.2179864082E-05  0.5933254450E+00  0.3866232757E+00
72  0.1325149055E+33  0.7324687483E+13 -0.8839830639E+04  0.2178728735E-05  0.5933254450E+00  0.3866232757E+00
73  0.1344019818E+33  0.7325972596E+13 -0.8831473445E+04  0.2177627924E-05  0.5933254450E+00  0.3866232757E+00
74  0.1362888892E+33  0.7327257812E+13 -0.8818260804E+04  0.2176496543E-05  0.5933254450E+00  0.3866232757E+00
75  0.1381756278E+33  0.7328543137E+13 -0.8878070388E+04  0.2175351717E-05  0.5933254450E+00  0.3866232757E+00
76  0.1400621976E+33  0.7329828560E+13 -0.8929235893E+04  0.2174230778E-05  0.5933254450E+00  0.3866232757E+00
77  0.1419485985E+33  0.7331114043E+13 -0.8983802657E+04  0.2173170658E-05  0.5933254450E+00  0.3866232757E+00
78  0.1438348306E+33  0.7332399514E+13 -0.9085503712E+04  0.2172235193E-05  0.5933254450E+00  0.3866232757E+00
79  0.1457208938E+33  0.7333684820E+13 -0.9257024217E+04  0.2171559619E-05  0.5933254450E+00  0.3866232757E+00
80  0.1476067882E+33  0.7334969700E+13 -0.9501849863E+04  0.2171322189E-05  0.5933254450E+00  0.3866232757E+00
81  0.1494925138E+33  0.7336253814E+13 -0.9749008056E+04  0.2171661946E-05  0.5933254450E+00  0.3866232757E+00
82  0.1513780705E+33  0.7337536890E+13 -0.9907861776E+04  0.2172464781E-05  0.5933254450E+00  0.3866232757E+00
83  0.1532634584E+33  0.7338818852E+13 -0.9873983241E+04  0.2173398745E-05  0.5933254450E+00  0.3866232757E+00
84  0.1551486775E+33  0.7340099948E+13 -0.9678005265E+04  0.2173911676E-05  0.5933254450E+00  0.3866232757E+00
85  0.1570337277E+33  0.7341380518E+13 -0.9479434008E+04  0.2173851966E-05  0.5933254450E+00  0.3866232757E+00
86  0.1589186090E+33  0.7342660864E+13 -0.9339048886E+04  0.2173280368E-05  0.5933254450E+00  0.3866232757E+00
87  0.1608033216E+33  0.7343941169E+13 -0.9271472415E+04  0.2172396467E-05  0.5933254450E+00  0.3866232757E+00
88  0.1626878652E+33  0.7345221527E+13 -0.9250421539E+04  0.2171354701E-05  0.5933254450E+00  0.3866232757E+00
89  0.1645722401E+33  0.7346501975E+13 -0.9268462048E+04  0.2170250852E-05  0.5933254450E+00  0.3866232757E+00
90  0.1664564461E+33  0.7347782531E+13 -0.9293146373E+04  0.2169118433E-05  0.5933254450E+00  0.3866232757E+00
91  0.1683404833E+33  0.7349063193E+13 -0.9302179305E+04  0.2167986182E-05  0.5933254450E+00  0.3866232757E+00
92  0.1702243516E+33  0.7350343959E+13 -0.9310422026E+04  0.2166863066E-05  0.5933254450E+00  0.3866232757E+00
93  0.1721080511E+33  0.7351624835E+13 -0.9277650320E+04  0.2165726244E-05  0.5933254450E+00  0.3866232757E+00
94  0.1739915817E+33  0.7352905826E+13 -0.9385115804E+04  0.2164582837E-05  0.5933254450E+00  0.3866232757E+00
95  0.1758749435E+33  0.7354186957E+13 -0.9495558311E+04  0.2163400868E-05  0.5933254450E+00  0.3866232757E+00
96  0.1777581365E+33  0.7355468125E+13 -0.9357286870E+04  0.2162388022E-05  0.5933254450E+00  0.3866232757E+00
97  0.1796411606E+33  0.7356748951E+13 -0.6904165548E+04  0.2162020316E-05  0.5933254450E+00  0.3866232757E+00
98  0.1815240159E+33  0.7358029009E+13 -0.2445251701E+04  0.2162368869E-05  0.5933254450E+00  0.3866232757E+00
99  0.1834067024E+33  0.7359307977E+13  0.3655237460E+04  0.2163266189E-05  0.5933254450E+00  0.3866232757E+00
100  0.1852892200E+33  0.7360586068E+13  0.9187030108E+04  0.2163805330E-05  0.5933254450E+00  0.3866232757E+00
101  0.1871715688E+33  0.7361863641E+13  0.1221398243E+05  0.2163735434E-05  0.5933254450E+00  0.3866232757E+00
102  0.1890537487E+33  0.7363141037E+13  0.1392645568E+05  0.2163091742E-05  0.5933254450E+00  0.3866232757E+00
103  0.1909357598E+33  0.7364418530E+13  0.1401109825E+05  0.2161983033E-05  0.5933254450E+00  0.3866232757E+00
104  0.1928176021E+33  0.7365696135E+13  0.1396901935E+05  0.2160848813E-05  0.5933254450E+00  0.3866232757E+00
105  0.1946992755E+33  0.7366973850E+13  0.1394457770E+05  0.2159720201E-05  0.5933254450E+00  0.3866232757E+00
106  0.1965807801E+33  0.7368251671E+13  0.1393639214E+05  0.2158597288E-05  0.5933254450E+00  0.3866232757E+00
107  0.1984621158E+33  0.7369529599E+13  0.1392899213E+05  0.2157475297E-05  0.5933254450E+00  0.3866232757E+00
108  0.2003432827E+33  0.7370807634E+13  0.1391924971E+05  0.2156353233E-05  0.5933254450E+00  0.3866232757E+00
109  0.2022242808E+33  0.7372085776E+13  0.1390890251E+05  0.2155231663E-05  0.5933254450E+00  0.3866232757E+00
110  0.2041051100E+33  0.7373364025E+13  0.1389880021E+05  0.2154110851E-05  0.5933254450E+00  0.3866232757E+00
111  0.2059857704E+33  0.7374642380E+13  0.1388884706E+05  0.2152990764E-05  0.5933254450E+00  0.3866232757E+00
112  0.2078662619E+33  0.7375920843E+13  0.1387884920E+05  0.2151871371E-05  0.5933254450E+00  0.3866232757E+00
113  0.2097465846E+33  0.7377199412E+13  0.1386880324E+05  0.2150752669E-05  0.5933254450E+00  0.3866232757E+00
114  0.2116267385E+33  0.7378478088E+13  0.1385902471E+05  0.2149634567E-05  0.5933254450E+00  0.3866232757E+00
115  0.2135067235E+33  0.7379756871E+13  0.1384960619E+05  0.2148517014E-05  0.5933254450E+00  0.3866232757E+00
116  0.2153865397E+33  0.7381035761E+13  0.1383886256E+05  0.2147400531E-05  0.5933254450E+00  0.3866232757E+00
117  0.2172661870E+33  0.7382314757E+13  0.1382469708E+05  0.2146285956E-05  0.5933254450E+00  0.3866232757E+00
118  0.2191456655E+33  0.7383593859E+13  0.1381428137E+05  0.2145170700E-05  0.5933254450E+00  0.3866232757E+00
119  0.2210249752E+33  0.7384873071E+13  0.1382581040E+05  0.2144051226E-05  0.5933254450E+00  0.3866232757E+00
120  0.2229041160E+33  0.7386152408E+13  0.1390946914E+05  0.2142906532E-05  0.5933254450E+00  0.3866232757E+00
121  0.2247830880E+33  0.7387431846E+13  0.1378228957E+05  0.2141801598E-05  0.5933254450E+00  0.3866232757E+00
122  0.2266618911E+33  0.7388711076E+13  0.1187529863E+05  0.2141216767E-05  0.5933254450E+00  0.3866232757E+00
123  0.2285405254E+33  0.7389989671E+13  0.8134436471E+04  0.2141346533E-05  0.5933254450E+00  0.3866232757E+00
124  0.2304189909E+33  0.7391267073E+13  0.1032345147E+04  0.2142411268E-05  0.5933254450E+00  0.3866232757E+00
125  0.2322972875E+33  0.7392543094E+13 -0.6587459587E+04  0.2143797152E-05  0.5933254450E+00  0.3866232757E+00
126  0.2341754153E+33  0.7393818314E+13 -0.1102237993E+05  0.2144211255E-05  0.5933254450E+00  0.3866232757E+00
127  0.2360533743E+33  0.7395093276E+13 -0.1330809012E+05  0.2143712669E-05  0.5933254450E+00  0.3866232757E+00
128  0.2379311644E+33  0.7396368286E+13 -0.1329177137E+05  0.2142699413E-05  0.5933254450E+00  0.3866232757E+00
129  0.2398087856E+33  0.7397643400E+13 -0.1353379296E+05  0.2141594560E-05  0.5933254450E+00  0.3866232757E+00
130  0.2416862381E+33  0.7398918604E+13 -0.1344879740E+05  0.2140512205E-05  0.5933254450E+00  0.3866232757E+00
131  0.2435635217E+33  0.7400193900E+13 -0.1343488477E+05  0.2139428414E-05  0.5933254450E+00  0.3866232757E+00
132  0.2454406364E+33  0.7401469316E+13 -0.1346158370E+05  0.2138297469E-05  0.5933254450E+00  0.3866232757E+00
133  0.2473175823E+33  0.7402744840E+13 -0.1346448439E+05  0.2137186795E-05  0.5933254450E+00  0.3866232757E+00
134  0.2491943594E+33  0.7404020464E+13 -0.1345016083E+05  0.2136090872E-05  0.5933254450E+00  0.3866232757E+00
135  0.2510709676E+33  0.7405296169E+13 -0.1346790543E+05  0.2135027251E-05  0.5933254450E+00  0.3866232757E+00
136  0.2529474070E+33  0.7406571911E+13 -0.1352740070E+05  0.2134037995E-05  0.5933254450E+00  0.3866232757E+00
137  0.2548236776E+33  0.7407847569E+13 -0.1362997396E+05  0.2133250951E-05  0.5933254450E+00  0.3866232757E+00
138  0.2566997793E+33  0.7409122916E+13 -0.1379303610E+05  0.2132845530E-05  0.5933254450E+00  0.3866232757E+00
139  0.2585757122E+33  0.7410397598E+13 -0.1400440780E+05  0.2133030956E-05  0.5933254450E+00  0.3866232757E+00
140  0.2604514762E+33  0.7411671239E+13 -0.1424063787E+05  0.2133849788E-05  0.5933254450E+00  0.3866232757E+00
141  0.2623270714E+33  0.7412943562E+13 -0.1429590555E+05  0.2135132597E-05  0.5933254450E+00  0.3866232757E+00
142  0.2642024978E+33  0.7414214672E+13 -0.1411518757E+05  0.2136245617E-05  0.5933254450E+00  0.3866232757E+00
143  0.2660777553E+33  0.7415484887E+13 -0.1383926160E+05  0.2136824804E-05  0.5933254450E+00  0.3866232757E+00
144  0.2679528439E+33  0.7416754602E+13 -0.1356632248E+05  0.2136743852E-05  0.5933254450E+00  0.3866232757E+00
145  0.2698277638E+33  0.7418024107E+13 -0.1337373789E+05  0.2136171583E-05  0.5933254450E+00  0.3866232757E+00
146  0.2717025148E+33  0.7419293576E+13 -0.1325766656E+05  0.2135309759E-05  0.5933254450E+00  0.3866232757E+00
147  0.2735770969E+33  0.7420563094E+13 -0.1321077269E+05  0.2134304272E-05  0.5933254450E+00  0.3866232757E+00
148  0.2754515103E+33  0.7421832697E+13 -0.1320295198E+05  0.2133239434E-05  0.5933254450E+00  0.3866232757E+00
149  0.2773257547E+33  0.7423102391E+13 -0.1318763133E+05  0.2132163010E-05  0.5933254450E+00  0.3866232757E+00
150  0.2791998304E+33  0.7424372178E+13 -0.1312306114E+05  0.2131088279E-05  0.5933254450E+00  0.3866232757E+00
151  0.2810737372E+33  0.7425642053E+13 -0.1308914203E+05  0.2130017941E-05  0.5933254450E+00  0.3866232757E+00
152  0.2829474752E+33  0.7426912030E+13 -0.1307925647E+05  0.2128926624E-05  0.5933254450E+00  0.3866232757E+00
